FID,Name,Address,City,Zipcode,geom
Pools_ColumbiaAssociation.fid-fa4324a_1504e07b18a_65c2,HOPEWELL POOL,9200 RUSTLING LEAF,Columbia,21045,POINT (1359698.6670667932 550869.6472559747)
Pools_ColumbiaAssociation.fid-fa4324a_1504e07b18a_65c3,LOCUST PARK POOL,8995 LAMBSKIN LN,Columbia,21045,POINT (1362575.8472747158 562635.9124456114)
Pools_ColumbiaAssociation.fid-fa4324a_1504e07b18a_65c4,HAMMOND PARK POOL,8034 HELMART DR,Laurel,20723,POINT (1345815.2701892194 539612.9101654117)
Pools_ColumbiaAssociation.fid-fa4324a_1504e07b18a_65c5,CLEMENS CROSSING POOL,6400 MARTIN RD,Columbia,21044,POINT (1349104.521369856 556347.4401510705)
Pools_ColumbiaAssociation.fid-fa4324a_1504e07b18a_65c6,RIVER HILL POOL,6330 TROTTER RD,Clarksville,21029,POINT (1334124.804986751 557278.4044722384)
Pools_ColumbiaAssociation.fid-fa4324a_1504e07b18a_65c7,CLARYS FOREST POOL,11615 LITTLE PATUXENT PKWY,Columbia,21044,POINT (1341282.196825318 560411.6657178918)
Pools_ColumbiaAssociation.fid-fa4324a_1504e07b18a_65c8,HOBBITS GLEN POOL,11130 WILLOW BOTTOM DR,Columbia,21044,POINT (1340283.041782103 567290.7340514509)
Pools_ColumbiaAssociation.fid-fa4324a_1504e07b18a_65c9,OWEN BROWN POOL,6800 CRADLEROCK WAY,Columbia,21045,POINT (1357382.8164935769 556180.6216464915)
Pools_ColumbiaAssociation.fid-fa4324a_1504e07b18a_65ca,PHELPS LUCK POOL,8995 PHELPS LUCK DR,Columbia,21045,POINT (1363739.4795101648 566948.9024490856)
Pools_ColumbiaAssociation.fid-fa4324a_1504e07b18a_65cb,HUNTINGTON POOL,7625 MURRAY HILL RD,Columbia,21046,POINT (1355019.2616813316 544702.630539329)
Pools_ColumbiaAssociation.fid-fa4324a_1504e07b18a_65cc,JEFFERS HILL POOL,6030 TAMAR DR,Columbia,21045,POINT (1361276.7115873017 560386.7892742265)
Pools_ColumbiaAssociation.fid-fa4324a_1504e07b18a_65cd,MACGILL'S COMMON POOL,10025 SHAKER DR,Columbia,21046,POINT (1352059.2575492058 550727.705195061)
Pools_ColumbiaAssociation.fid-fa4324a_1504e07b18a_65ce,THUNDER HILL POOL,9205 LOG CHAIN RD,Columbia,21045,POINT (1360059.2291679184 569027.6951473741)
Pools_ColumbiaAssociation.fid-fa4324a_1504e07b18a_65cf,LONGFELLOW POOL,5257 ELIOTS OAK RD,Columbia,21044,POINT (1345614.7953196813 568033.2227288489)
Pools_ColumbiaAssociation.fid-fa4324a_1504e07b18a_65d0,STEVENS FOREST POOL,6055 STEVENS FOREST RD,Columbia,21045,POINT (1356348.5417651872 559689.9561875555)
Pools_ColumbiaAssociation.fid-fa4324a_1504e07b18a_65d1,DICKINSON POOL,7425 WEATHER WORN WAY,Columbia,21046,POINT (1348805.1260537435 546124.3924608108)
Pools_ColumbiaAssociation.fid-fa4324a_1504e07b18a_65d2,DORSEY HALL SWIM CLUB,4649 COLUMBIA RD,Ellicott City,21042,POINT (1357878.5893826238 576732.3687465775)
Pools_ColumbiaAssociation.fid-fa4324a_1504e07b18a_65d3,HAWTHORN POOL,6175 SUNNY SPRING,Columbia,21044,POINT (1345363.6895706835 561044.1127150763)
Pools_ColumbiaAssociation.fid-fa4324a_1504e07b18a_65d4,BRYANT WOODS,10451 GREEN MOUNTAIN CIR,Columbia,21044,POINT (1350122.114247788 566479.7619879626)
Pools_ColumbiaAssociation.fid-fa4324a_1504e07b18a_65d5,TALBOT SPRINGS POOL,9660 BASKET RING RD,Columbia,21045,POINT (1355859.500149132 563594.9725149189)
Pools_ColumbiaAssociation.fid-fa4324a_1504e07b18a_65d6,KENDALL RIDGE POOL,8245 TAMAR DR,Columbia,21045,POINT (1368255.578359565 559428.6071970484)
Pools_ColumbiaAssociation.fid-fa4324a_1504e07b18a_65d7,SWANSFIELD POOL,5659 CEDAR LN,Columbia,21044,POINT (1344439.4565225074 564906.4000921441)
Pools_ColumbiaAssociation.fid-fa4324a_1504e07b18a_65d8,RUNNING BROOK POOL,5730 COLUMBIA RD,Columbia,21044,POINT (1352955.6875132855 568780.6866949799)
Pools_ColumbiaAssociation.fid-fa4324a_1504e07b18a_65d9,FAULKNER RIDGE POOL,10518 MARBLE FAUN LN,Columbia,21044,POINT (1347791.045144329 566750.7688918926)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6447,HOLLIFIELD STATION ELEM PREK,410-313-2550,ELLICOTT CITY,21043,POINT (1363862.3984082758 595797.967835695)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6448,MIDDLE PATUXENT NURSERY SCHL,443-535-9030,CLARKSVILLE,21029,POINT (1334156.9980314942 557275.7704958502)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_6449,HOLLIFIELD STATION ELEM EXT REC PROG,410-313-2794,ELLICOTT CITY,21043,POINT (1363862.3984082758 595797.967835695)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_644a,BROOKFIELD CHRISTIAN SCHOOL LLC,410-531-9443,CLARKSVILLE,21029,POINT (1327817.8948574935 561040.6007465589)
Day_Care_Center_Large.fid-fa4324a_1504e07b18a_644b,JEFFERS HILL ELEM SAS,410-964-1393,COLUMBIA,21045,POINT (1361560.8883731721 560435.3715053846)
